epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,102.064,1.10243,1.4481,1.58945,0.69186,0.67154,0.69635,0.40819,1.57607,1.6756,1.38092,2.98125e-05,2.98125e-05,2.98125e-05
57,103.862,0.94471,1.50077,1.37507,0.7258,0.5,0.69158,0.40262,1.58283,1.70894,1.39107,2.96948e-05,2.96948e-05,2.96948e-05
58,105.657,0.86454,1.45268,1.26624,0.7258,0.5,0.69158,0.40262,1.58283,1.70894,1.39107,2.95535e-05,2.95535e-05,2.95535e-05
59,107.468,0.78202,0.82943,1.15402,0.7258,0.5,0.69158,0.40262,1.58283,1.70894,1.39107,2.93887e-05,2.93887e-05,2.93887e-05
60,109.345,0.99922,0.77618,1.54684,0.85549,0.48111,0.67794,0.3908,1.60868,1.77835,1.4088,2.92003e-05,2.92003e-05,2.92003e-05
61,111.127,0.63643,0.68052,1.06361,0.85549,0.48111,0.67794,0.3908,1.60868,1.77835,1.4088,2.89884e-05,2.89884e-05,2.89884e-05
62,112.867,0.70372,0.8965,1.0462,0.85549,0.48111,0.67794,0.3908,1.60868,1.77835,1.4088,2.87529e-05,2.87529e-05,2.87529e-05
63,114.749,0.77083,0.82392,1.15476,0.85505,0.47927,0.67728,0.3706,1.64645,1.85321,1.42746,2.84938e-05,2.84938e-05,2.84938e-05
64,116.486,0.62645,0.65331,1.06737,0.85505,0.47927,0.67728,0.3706,1.64645,1.85321,1.42746,2.82112e-05,2.82112e-05,2.82112e-05
65,118.25,0.66098,0.6831,1.21609,0.85505,0.47927,0.67728,0.3706,1.64645,1.85321,1.42746,2.7905e-05,2.7905e-05,2.7905e-05
66,120.099,0.68534,0.91218,1.08124,0.85295,0.47726,0.67715,0.39248,1.72104,1.91869,1.45347,2.75753e-05,2.75753e-05,2.75753e-05
67,121.785,0.73682,1.10939,1.10169,0.85295,0.47726,0.67715,0.39248,1.72104,1.91869,1.45347,2.7222e-05,2.7222e-05,2.7222e-05
68,123.544,1.04498,1.76965,1.40746,0.85295,0.47726,0.67715,0.39248,1.72104,1.91869,1.45347,2.68451e-05,2.68451e-05,2.68451e-05
69,125.407,0.63848,1.09726,1.12349,0.84269,0.48533,0.55417,0.273,1.67084,1.96109,1.42366,2.64447e-05,2.64447e-05,2.64447e-05
70,127.175,0.98209,0.86721,1.43086,0.84269,0.48533,0.55417,0.273,1.67084,1.96109,1.42366,2.60207e-05,2.60207e-05,2.60207e-05
71,128.938,0.94439,1.27805,1.31379,0.84269,0.48533,0.55417,0.273,1.67084,1.96109,1.42366,2.55731e-05,2.55731e-05,2.55731e-05
72,130.77,0.59491,0.6376,1.07471,0.84104,0.48482,0.54199,0.2709,1.7432,2.00872,1.45347,2.5102e-05,2.5102e-05,2.5102e-05
73,132.508,0.68438,0.90456,1.04356,0.84104,0.48482,0.54199,0.2709,1.7432,2.00872,1.45347,2.46073e-05,2.46073e-05,2.46073e-05
74,134.25,0.73,0.60003,1.21964,0.84104,0.48482,0.54199,0.2709,1.7432,2.00872,1.45347,2.40891e-05,2.40891e-05,2.40891e-05
75,136.107,0.72965,0.55237,1.14054,0.83553,0.48934,0.54999,0.27036,1.8031,2.00858,1.4773,2.35472e-05,2.35472e-05,2.35472e-05
76,137.865,0.63486,0.73259,1.12868,0.83553,0.48934,0.54999,0.27036,1.8031,2.00858,1.4773,2.29819e-05,2.29819e-05,2.29819e-05
77,139.605,0.68184,0.6579,1.11209,0.83553,0.48934,0.54999,0.27036,1.8031,2.00858,1.4773,2.23929e-05,2.23929e-05,2.23929e-05
78,141.44,0.87916,1.01251,1.18705,0.83414,0.48743,0.54433,0.26761,1.76232,2.03391,1.45803,2.17805e-05,2.17805e-05,2.17805e-05
79,143.199,0.60044,0.78245,1.09849,0.83414,0.48743,0.54433,0.26761,1.76232,2.03391,1.45803,2.11444e-05,2.11444e-05,2.11444e-05
80,144.955,0.70238,0.73226,1.16215,0.83414,0.48743,0.54433,0.26761,1.76232,2.03391,1.45803,2.04848e-05,2.04848e-05,2.04848e-05
81,146.828,0.51478,0.50426,0.97504,0.83788,0.48683,0.53445,0.25852,1.80179,2.07446,1.48706,1.98016e-05,1.98016e-05,1.98016e-05
82,148.617,0.80864,0.67283,1.14334,0.83788,0.48683,0.53445,0.25852,1.80179,2.07446,1.48706,1.90949e-05,1.90949e-05,1.90949e-05
83,150.445,0.75178,0.8173,1.17895,0.83788,0.48683,0.53445,0.25852,1.80179,2.07446,1.48706,1.83646e-05,1.83646e-05,1.83646e-05
84,152.341,0.78313,0.56645,1.20408,0.84185,0.48289,0.53682,0.26511,1.84208,2.10105,1.51183,1.76107e-05,1.76107e-05,1.76107e-05
85,154.045,0.57155,0.74602,1.11264,0.84185,0.48289,0.53682,0.26511,1.84208,2.10105,1.51183,1.68333e-05,1.68333e-05,1.68333e-05
86,155.749,0.7388,0.67336,1.10116,0.84185,0.48289,0.53682,0.26511,1.84208,2.10105,1.51183,1.60323e-05,1.60323e-05,1.60323e-05
87,157.543,0.75816,0.80126,1.05548,0.84185,0.48289,0.53682,0.26511,1.84208,2.10105,1.51183,1.52077e-05,1.52077e-05,1.52077e-05
